waveData1,waveData2,waveData3,waveData4,waveData5,waveData6,waveData7,waveData8,waveData9,waveData10,waveData11,waveData12,waveData13,waveData14,waveData15,waveData16,waveData17
3,0.688876668,0.330053664,0.1553979,0.155287915,14.75,7.375,2.458333333,1.966666667,1.475,-0.001295998,0.050071048,0.098914503,0.066666667,B04_Colony_15.xlsx,0.044652824,2.868941799
4,0.127825902,0.102303496,0.085942314,0.063929977,13.16666667,3.95,3.038461538,2.633333333,2.323529412,-0.001642563,-0.003415418,0.12626053,0.05,B04_Colony_19.xlsx,0.054145712,3.894583333
4,0.342353002,0.188104867,0.187930033,0.13189081,15.83333333,5.277777778,3.392857143,3.958333333,2.96875,-0.001960805,-0.008030758,0.083072776,0.0625,B04_Colony_20.xlsx,-0.00907647,3.847943122
4,0.343725805,0.08314774,0.048948162,0.034115075,15.83333333,7.916666667,5.277777778,2.5,2.261904762,-0.002212475,-0.006068425,0.067257374,0.072916667,B04_Colony_21.xlsx,-0.612677999,3.944761905
4,0.314771011,0.259163142,0.147423215,0.084409509,15.83333333,7.916666667,5.9375,4.318181818,3.392857143,0.000871234,0.030446188,0.133524391,0.0625,B04_Colony_24.xlsx,-0.083812442,3.829755291
4,0.161681679,0.132119265,0.050187781,0.044699483,15.83333333,7.916666667,5.277777778,2.375,1.696428571,-0.006194801,-0.003833753,0.120906516,0.0625,B04_Colony_25.xlsx,0.282000502,3.994583333
3,0.584813565,0.279237174,0.250476095,0.155254423,15.83333333,7.916666667,4.75,5.9375,3.392857143,0.002752262,0.212182439,0.083642142,0.072916667,B04_Colony_27.xlsx,-0.933912029,2.988022487
4,0.263656104,0.159379942,0.154622955,0.064097976,15.83333333,5.277777778,3.653846154,2.96875,2.638888889,-0.006840327,0.018392538,0.200351825,0.0625,B04_Colony_28.xlsx,0.266971929,3.952361111
3,0.439393498,0.188008935,0.173409706,0.099593344,20.75,8.3,5.1875,3.458333333,2.184210526,-0.009299775,-0.036475868,0.175175235,0.047619048,B04_Colony_3.xlsx,-0.939330811,3.389199735
4,0.181173057,0.165005894,0.089289124,0.081836761,15.83333333,7.916666667,5.277777778,1.979166667,2.96875,-0.001904108,-0.006852335,0.143861328,0.0625,B04_Colony_30.xlsx,-0.026616803,4
2,0.404278225,0.23857094,0.214851351,0.192757318,15.83333333,7.916666667,2.5,5.9375,4.75,0.004779524,0.541996117,0.069118434,0.0625,B04_Colony_31.xlsx,-0.794950525,3.101686508
2,0.556512429,0.437067615,0.155731604,0.144443481,11.875,6.785714286,5.277777778,3.166666667,2.794117647,-0.004976225,-0.041966283,0.045677653,0.125,B04_Colony_32.xlsx,-0.899155862,2.86952381
3,0.20161321,0.111301918,0.098102969,0.087097591,7.75,5.8125,3.1,3.576923077,1.86,-0.000640984,-0.013432969,0.024420449,0.117021277,B04_Colony_38.xlsx,0.302483716,3.493313492
4,0.163048995,0.111431237,0.093862811,0.054161084,15.83333333,5.277777778,4.318181818,3.166666667,2.261904762,-0.010152812,-0.053370546,0.118185105,0.0625,B04_Colony_6.xlsx,0.039560437,3.95125
